scenario,wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,heating_load_m2 ,cooling_load,cooling_load_m2
313,0.1,1.41,0.59,0.32,0.2,3639.16,20.31,660.88,3.69
314,0.1,1.41,0.59,0.32,0.4,3338.66,18.63,1028.22,5.74
315,0.1,1.41,0.59,0.32,0.6,3106.49,17.34,1466.55,8.19
316,0.1,1.41,0.59,0.32,0.8,2908.04,16.23,1972.73,11.01
317,0.1,1.41,0.59,0.4,0.2,3927.03,21.92,621.33,3.47
318,0.1,1.41,0.59,0.4,0.4,3614.96,20.18,977.87,5.46
319,0.1,1.41,0.59,0.4,0.6,3372.29,18.82,1403.11,7.83
320,0.1,1.41,0.59,0.4,0.8,3169.13,17.69,1896.43,10.58
321,0.1,1.41,0.67,0.1,0.2,2778.5,15.51,874.54,4.88
322,0.1,1.41,0.67,0.1,0.4,2489.66,13.9,1360.16,7.59
323,0.1,1.41,0.67,0.1,0.6,2272.39,12.68,1947.77,10.87
324,0.1,1.41,0.67,0.1,0.8,2078.38,11.6,2599.31,14.51
325,0.1,1.41,0.67,0.17,0.2,3039.6,16.96,812.94,4.54
326,0.1,1.41,0.67,0.17,0.4,2735.05,15.27,1280.36,7.15
327,0.1,1.41,0.67,0.17,0.6,2507.73,14,1849.25,10.32
328,0.1,1.41,0.67,0.17,0.8,2304.21,12.86,2485.78,13.87
329,0.1,1.41,0.67,0.25,0.2,3334.98,18.61,754.1,4.21
330,0.1,1.41,0.67,0.25,0.4,3016.64,16.84,1205.32,6.73
331,0.1,1.41,0.67,0.25,0.6,2778.58,15.51,1754.57,9.79
332,0.1,1.41,0.67,0.25,0.8,2567.7,14.33,2378.02,13.27
333,0.1,1.41,0.67,0.32,0.2,3591.16,20.04,711.06,3.97
334,0.1,1.41,0.67,0.32,0.4,3261.99,18.21,1149.49,6.42
335,0.1,1.41,0.67,0.32,0.6,3015.9,16.83,1683.65,9.4
336,0.1,1.41,0.67,0.32,0.8,2798.82,15.62,2295.79,12.81
337,0.1,1.41,0.67,0.4,0.2,3877.6,21.64,670.03,3.74
338,0.1,1.41,0.67,0.4,0.4,3534.17,19.73,1095.46,6.11
339,0.1,1.41,0.67,0.4,0.6,3279.86,18.31,1614.51,9.01
340,0.1,1.41,0.67,0.4,0.8,3056.41,17.06,2213.29,12.35
341,0.1,1.41,0.75,0.1,0.2,2741.27,15.3,924.2,5.16
342,0.1,1.41,0.75,0.1,0.4,2438.14,13.61,1484.88,8.29
343,0.1,1.41,0.75,0.1,0.6,2204.33,12.3,2162.27,12.07
344,0.1,1.41,0.75,0.1,0.8,1997.74,11.15,2909.71,16.24
