Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,,total_idealHeating(per m2),total_idealCooling (per m2)
4044,1.92,0.49,0.6,0.18,0.8,21697.93685,2358.34406,6189.021128,,114.779606696995,12.4753706093948
4045,1.38,0.36,0.225,0.5,0.2,22355.40919,1622.610757,2841.106425,,118.257560251799,8.58342550253915
4046,2.46,0.75,0.475,0.34,0.2,23039.52479,2402.796376,7805.01647,,121.876453607702,12.7105182818451
4047,3,0.1,0.225,0.18,0.4,24172.78221,1058.377561,532.716705,,127.871255871773,5.5986963658485
4048,3,0.1,0.35,0.1,0.8,24106.36626,1109.07497,671.8566294,,127.519923085061,5.86687986669488
4049,1.92,0.49,0.35,0.18,0.8,20293.94505,2282.121633,6189.021128,,107.352650497249,12.0721626798561
4050,0.3,0.49,0.225,0.42,0.6,18097.80649,2337.711524,5858.964078,,95.7353284490055,12.36622685146
4051,0.84,0.1,0.6,0.1,0.6,20948.1015,1218.157256,564.4545755,,110.813063372831,6.44391269572577
4052,0.84,0.49,0.35,0.26,0.2,19259.10263,1946.218693,4663.433033,,101.87845233813,10.2952745080406
4053,0.3,0.23,0.475,0.34,0.8,20093.60575,1733.373156,2093.37697,,106.292878491325,9.16934593736775
