Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1392,2.46,0.36,0.6,0.5,0.2,26557.45248,1718.169227,2993.942804,
1393,2.46,0.75,0.35,0.18,0.2,20922.10063,2340.512885,7805.01647,
1394,0.84,0.23,0.35,0.18,0.4,19578.86019,1422.00278,1673.021498,
1395,1.92,0.49,0.6,0.1,0.4,21320.43542,2065.454519,5032.242432,
1396,1.92,0.1,0.6,0.18,0.2,24268.9873,1169.471719,463.0824668,
1397,3,0.49,0.35,0.5,0.6,25131.66079,2159.044713,5604.977222,
1398,1.38,0.75,0.225,0.42,0.8,19355.78501,2979.757943,10706.21581,
1399,1.38,0.1,0.475,0.42,0.8,24337.25038,1299.84835,631.567199,
1400,1.92,0.23,0.225,0.1,0.8,20249.80507,1456.710601,2227.843922,
1401,0.84,0.23,0.35,0.34,0.8,20781.95004,1635.665148,2092.72159,
1402,1.38,0.62,0.6,0.18,0.6,20183.93638,2614.334299,7779.458831,
1403,0.3,0.49,0.225,0.5,0.6,18760.60098,2346.311359,5858.964078,
1404,1.38,0.23,0.225,0.34,0.4,21525.42262,1401.6142,1672.61274,
1405,1.92,0.75,0.1,0.34,0.6,19182.25956,2728.685923,9737.01499,
1406,0.84,0.23,0.35,0.42,0.8,21458.33429,1658.962145,2092.72159,
1407,1.92,0.23,0.1,0.5,0.6,23032.77795,1468.591867,2009.625859,
1408,1.92,0.75,0.35,0.26,0.2,20622.71947,2401.532314,7806.030808,
1409,1.92,0.1,0.1,0.26,0.2,22089.30945,1015.406422,463.0824668,
1410,1.38,0.36,0.225,0.5,0.4,22172.43587,1743.726823,3228.942246,
1411,3,0.75,0.475,0.42,0.4,24338.30558,2582.669546,8767.269282,
1412,1.38,0.1,0.6,0.42,0.6,25034.59912,1317.624222,564.6880409,
1413,1.92,0.1,0.1,0.42,0.2,23440.03126,1073.513838,463.0824668,
1414,3,0.75,0.475,0.5,0.6,24706.19995,2776.05394,9730.634564,
1415,0.3,0.23,0.1,0.26,0.8,17055.9256,1568.95524,2093.37697,
1416,2.46,0.1,0.35,0.42,0.6,25889.71688,1211.659262,602.2264778,
1417,1.92,0.62,0.1,0.26,0.4,19255.83029,2234.148947,6997.460871,
1418,3,0.75,0.1,0.18,0.4,19984.72191,2427.367012,8767.269282,
1419,2.46,0.62,0.225,0.1,0.8,19188.28438,2535.763984,8551.60683,
1420,1.38,0.62,0.6,0.26,0.2,21380.28014,2263.95634,6219.249295,
1421,3,0.62,0.225,0.34,0.4,22738.59982,2209.588835,6993.072253,
1422,2.46,0.36,0.225,0.26,0.2,22492.92891,1512.741151,2993.942804,
1423,2.46,0.75,0.35,0.34,0.2,22329.76698,2363.179977,7805.01647,
1424,3,0.49,0.35,0.1,0.2,22155.6346,1748.022032,4451.968231,
1425,0.84,0.36,0.475,0.42,0.8,21438.26049,2089.698281,4006.568812,
1426,0.84,0.62,0.6,0.18,0.8,18771.56386,2828.249025,8563.008575,
1427,2.46,0.49,0.35,0.18,0.6,21492.18566,2114.277962,5607.957088,
1428,1.92,0.49,0.225,0.1,0.8,18759.51831,2229.966757,6189.021128,
1429,2.46,0.1,0.35,0.18,0.8,23838.7459,1146.117239,671.7763769,
1430,0.84,0.23,0.35,0.18,0.4,19578.86019,1422.00278,1673.021498,
1431,0.3,0.75,0.6,0.42,0.2,19748.91343,2674.73122,7808.584331,
1432,3,0.75,0.35,0.42,0.2,23921.66023,2346.003109,7803.904,
