Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
2723,1.3,0.38,0.54,0.1,0.6,129596.9863,122689.9474
2724,0.8,0.1,1.2,0.42,0.4,199290.1395,99556.76133
2725,1.8,0.66,0.98,1.7,0.6,278650.8963,191616.6784
2726,0.8,0.1,0.32,0.74,0.8,213059.4737,107849.8852
2727,0.8,0.38,1.2,1.38,0.6,257567.0444,157667.2022
2728,1.8,0.24,0.76,0.1,0.8,155911.3848,113064.3758
2729,0.3,0.8,0.32,1.38,0.6,195117.1639,197978.5484
2730,0.3,0.52,0.32,1.06,0.8,182314.3473,174322.4113
2731,1.3,0.24,0.54,0.74,0.2,226274.6259,112365.9031
2732,2.3,0.8,0.76,0.74,0.2,217173.8472,149438.4412
2733,1.8,0.38,0.76,0.42,0.4,191502.0038,123843.7109
2734,2.8,0.52,0.54,1.38,0.4,287142.464,157989.2805
2735,2.8,0.8,0.32,0.42,0.8,156579.0458,193014.2728
2736,2.8,0.24,0.76,0.1,0.4,186404.4622,102690.2538
2737,1.3,0.1,0.32,1.06,0.6,258175.5615,114247.6019
2738,2.3,0.52,0.76,0.1,0.4,152353.1034,127297.1255
2739,0.3,0.38,1.2,1.06,0.4,223139.7928,141293.4589
2740,0.3,0.52,0.32,0.74,0.6,158968.6992,154701.7626
2741,0.3,0.52,0.32,0.42,0.8,119177.5252,160539.0971
2742,2.8,0.52,0.76,0.1,0.6,154453.1487,139942.5805
2743,0.3,0.8,1.2,1.7,0.2,253826.0827,171539.0084
2744,1.3,0.1,0.32,0.1,0.8,153564.7729,89007.52587
2745,2.8,0.38,0.1,1.7,0.6,305325.3753,159250.3484
2746,2.8,0.8,1.2,0.42,0.6,180205.6057,180016.7515
2747,0.8,0.38,1.2,1.38,0.6,257567.0444,157667.2022
2748,0.8,0.52,0.76,0.1,0.4,116465.1457,127849.7183
2749,1.8,0.1,1.2,1.7,0.6,334369.4988,134237.8735
2750,1.8,0.38,0.54,1.06,0.2,257610.7645,130052.9318
2751,2.8,0.66,0.76,0.42,0.6,182613.4925,163177.8552
2752,1.3,0.38,0.98,1.38,0.2,279780.0282,138970.2018
