Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad
v4328,2.7,0.34,0.2,0.46,0.6,103533.6336,19438.67709,34798.20303
v4329,2.7,0.58,0.4,0.22,0.8,93653.55895,22455.22827,79148.77973
v4330,1.74,0.22,0.2,0.46,0.8,98749.4861,18637.43198,21410.79434
v4331,2.22,0.7,0.1,0.22,0.4,84241.72108,22770.84714,75934.4045
v4332,2.7,0.34,0.2,0.58,0.8,104444.8498,19814.63978,39621.84275
v4333,2.22,0.46,0.3,0.46,0.8,95622.28919,21628.31034,57973.01691
v4334,2.7,0.34,0.1,0.1,0.8,95896.96716,19986.0141,39621.84275
v4335,1.26,0.22,0.3,0.58,0.4,98355.26147,17996.84169,15080.91715
v4336,0.78,0.22,0.2,0.46,0.2,90828.39441,17655.73327,12477.91523
v4337,1.74,0.22,0.1,0.7,0.8,100462.0003,18571.58693,21410.79434
v4338,2.22,0.58,0.1,0.22,0.8,85162.8736,22899.5947,79212.40279
v4339,2.22,0.7,0.6,0.34,0.8,90168.91799,23362.02216,98552.10212
v4340,1.74,0.1,0.2,0.22,0.8,100880.0086,15268.26365,7080.190147
v4341,1.26,0.58,0.1,0.58,0.8,81041.29834,23370.57198,79323.96246
v4342,1.26,0.7,0.5,0.22,0.6,79232.79356,23733.46847,87330.89644
v4343,1.74,0.46,0.5,0.34,0.2,95736.91018,20214.24342,37226.14613
v4344,2.7,0.22,0.6,0.46,0.2,114962.7818,16370.17055,13338.45433
v4345,2.7,0.58,0.3,0.7,0.4,101470.9715,21223.46827,60796.36939
v4346,2.7,0.1,0.5,0.22,0.8,113908.6873,14799.64035,7085.282183
v4347,2.22,0.22,0.6,0.22,0.8,105126.0932,18356.37298,21394.96737
v4348,0.3,0.58,0.6,0.7,0.6,80023.64739,23474.6003,70174.44803
v4349,0.3,0.46,0.2,0.34,0.8,72141.87946,23444.60947,60275.49823
v4350,2.7,0.1,0.2,0.58,0.8,115022.4853,14770.69266,7085.282183
v4351,2.22,0.22,0.4,0.58,0.8,107717.3985,18265.7615,21394.96737
v4352,2.7,0.34,0.1,0.58,0.2,105991.2114,17889.12937,25150.9236
v4353,1.26,0.46,0.1,0.7,0.8,86503.86356,22363.95034,60199.34066
v4354,0.78,0.58,0.5,0.46,0.8,79923.66991,23625.17146,79372.95191
v4355,2.7,0.46,0.5,0.46,0.4,104665.0713,20215.8208,44107.23154
v4356,2.7,0.7,0.4,0.22,0.8,89938.29783,23243.29252,98485.96391
v4357,1.74,0.58,0.4,0.58,0.4,92678.91054,21942.7548,60857.28197
v4358,0.78,0.22,0.5,0.46,0.8,92633.93498,19642.39477,20302.85932
v4359,0.78,0.34,0.6,0.58,0.8,90978.38806,21396.35962,37846.79911
v4360,1.26,0.7,0.3,0.1,0.4,76097.05309,23438.0605,75992.83325
v4361,1.26,0.1,0.1,0.34,0.6,96471.84107,15341.52216,5813.199007
v4362,2.7,0.34,0.4,0.7,0.6,109410.8699,19393.14553,34798.20303
v4363,1.74,0.7,0.5,0.22,0.6,83934.42946,23413.58701,87288.86797
v4364,0.3,0.7,0.2,0.1,0.2,65721.57424,23614.62143,64679.61928
v4365,1.26,0.58,0.5,0.34,0.4,85894.81699,22428.22731,60883.96076
v4366,2.7,0.46,0.6,0.58,0.8,105339.3301,21160.6494,57919.9788
v4367,1.26,0.22,0.1,0.7,0.4,97013.56442,17898.54856,15080.91715
v4368,0.78,0.34,0.5,0.1,0.2,85731.87487,19740.86747,23712.05912
v4369,1.26,0.7,0.6,0.7,0.2,90429.15499,22308.77086,64654.77007
v4370,0.3,0.46,0.5,0.22,0.8,74547.48414,23386.76007,60275.49823
v4371,2.7,0.22,0.1,0.1,0.8,100793.2658,17826.90108,21375.87888
v4372,1.26,0.34,0.1,0.1,0.4,84159.7717,20021.12374,28410.57888
v4373,1.74,0.34,0.4,0.7,0.8,99918.82373,20507.43978,39691.72485
v4374,0.78,0.7,0.3,0.34,0.8,72040.77255,24409.61041,98720.65804
v4375,1.74,0.22,0.4,0.46,0.4,102865.1517,17661.39452,16035.05358
v4376,0.3,0.58,0.1,0.58,0.8,70300.16714,24138.26317,79417.94435
v4377,2.7,0.1,0.3,0.58,0.8,116380.7728,14858.78049,7085.282183
v4378,1.74,0.1,0.4,0.22,0.6,103858.0279,15171.89541,6143.311322
v4379,1.26,0.34,0.1,0.22,0.4,86102.17547,19971.04925,28410.57888
v4380,2.7,0.58,0.5,0.7,0.2,105731.2312,20464.14031,51620.16423
v4381,0.78,0.34,0.4,0.1,0.4,83208.65037,20581.25915,28423.63911
v4382,1.26,0.7,0.1,0.22,0.6,73525.48664,23926.7736,87330.89644
v4383,2.7,0.1,0.4,0.46,0.8,116094.9088,14870.24089,7085.282183
v4384,2.22,0.1,0.1,0.58,0.4,109781.0395,14452.84888,5207.994614
v4385,1.26,0.1,0.3,0.1,0.4,96019.3952,14965.17235,4904.055434
v4386,1.26,0.34,0.5,0.22,0.4,91747.68758,20006.5728,28410.57888
v4387,2.22,0.34,0.5,0.1,0.6,97932.33963,19924.38959,34825.95148
v4388,0.3,0.46,0.2,0.58,0.4,77825.13244,22328.59578,46027.58161
v4389,1.26,0.22,0.1,0.58,0.8,94054.12837,19008.33802,20292.23376
v4390,2.22,0.58,0.6,0.1,0.8,90125.72803,22772.41483,79212.40279
v4391,1.26,0.1,0.3,0.58,0.8,102399.1298,15983.96231,6722.342581
v4392,2.22,0.34,0.5,0.1,0.2,100234.9668,18420.7447,25160.17308
v4393,1.26,0.46,0.5,0.22,0.8,85399.06694,22496.86822,60199.34066
v4394,2.22,0.46,0.3,0.22,0.8,92088.63475,21766.79962,57973.01691
v4395,2.7,0.58,0.1,0.22,0.4,91888.53666,21511.95702,60796.36939
v4396,1.26,0.7,0.6,0.34,0.8,81068.6346,23960.49089,98668.95962
v4397,0.78,0.46,0.4,0.46,0.6,83437.91025,22399.34615,53124.30651
v4398,2.22,0.22,0.6,0.46,0.8,108612.7662,18324.96796,21394.96737
v4399,0.3,0.34,0.5,0.34,0.8,80597.43553,22106.25411,37870.10687
v4400,1.74,0.7,0.4,0.34,0.8,83180.76387,23736.81108,98612.92166
v4401,0.78,0.34,0.1,0.22,0.2,81959.88617,19605.512,23712.05912
v4402,0.78,0.22,0.2,0.22,0.8,84930.67274,19682.94974,20302.85932
v4403,2.7,0.34,0.3,0.1,0.6,99508.92139,19559.6879,34798.20303
v4404,2.22,0.7,0.2,0.22,0.6,84210.92932,23249.78858,87243.25331
v4405,2.7,0.22,0.2,0.58,0.4,110545.2426,16877.59645,16017.59584
v4406,2.7,0.34,0.4,0.7,0.4,110487.4402,18766.30041,29974.56331
v4407,2.22,0.46,0.4,0.1,0.8,91535.33987,21812.71684,57973.01691
v4408,0.3,0.7,0.5,0.58,0.8,72660.98647,24514.30571,98768.35648
v4409,1.74,0.58,0.6,0.22,0.2,91751.30174,21352.43463,51650.62052
v4410,1.26,0.7,0.2,0.1,0.8,71913.95884,24295.64474,98668.95962
v4411,0.78,0.46,0.3,0.58,0.6,83688.2608,22365.00446,53124.30651
v4412,2.7,0.1,0.4,0.58,0.2,118533.3993,14163.38891,4270.826679
v4413,0.78,0.46,0.3,0.22,0.2,81166.24162,21201.07687,38894.5455
v4414,2.7,0.46,0.2,0.34,0.2,100390.4634,19432.4381,37200.85791
v4415,0.3,0.46,0.1,0.34,0.8,70598.26928,23493.99206,60275.49823
v4416,1.26,0.22,0.2,0.58,0.2,97790.43976,17184.16907,12475.25884
v4417,0.78,0.22,0.5,0.58,0.2,96559.31646,17823.58198,12477.91523
v4418,1.74,0.58,0.3,0.1,0.8,81680.00882,23225.3848,79270.60488
v4419,2.22,0.7,0.2,0.1,0.6,82286.67893,23330.23867,87243.25331
v4420,0.3,0.34,0.4,0.58,0.8,82636.07366,21992.033,37870.10687
v4421,1.74,0.34,0.4,0.1,0.4,93188.39824,19671.93233,30009.50436
v4422,2.7,0.34,0.2,0.58,0.8,104444.8498,19814.63978,39621.84275
v4423,2.7,0.22,0.5,0.46,0.8,111648.8177,17947.92433,21375.87888
v4424,2.22,0.34,0.2,0.1,0.2,96165.07676,18313.49814,25160.17308
v4425,2.22,0.1,0.4,0.1,0.6,106600.0086,14728.80789,6145.654499
v4426,1.26,0.22,0.5,0.34,0.4,97679.75961,18077.31786,15080.91715
v4427,0.78,0.1,0.1,0.34,0.8,90679.09744,16236.72936,6717.56098
v4428,0.78,0.58,0.6,0.34,0.4,82047.34843,22796.12308,60908.45549
v4429,1.26,0.1,0.6,0.46,0.8,104650.2934,16137.3048,6722.342581
v4430,2.7,0.58,0.3,0.7,0.6,100064.02,21819.4224,69972.57456
v4431,1.26,0.46,0.1,0.46,0.2,86999.21018,20601.84414,38884.58391
v4432,2.22,0.22,0.6,0.34,0.8,106916.989,18339.19449,21394.96737
v4433,0.3,0.34,0.4,0.34,0.4,81231.32093,21035.96758,28435.29299
v4434,0.78,0.58,0.1,0.22,0.8,70669.67824,23971.47244,79372.95191
v4435,0.78,0.46,0.2,0.46,0.8,79549.7273,22898.86665,60239.18702
v4436,1.74,0.34,0.3,0.46,0.4,97263.32881,19540.89675,30009.50436
v4437,0.78,0.7,0.6,0.58,0.6,80598.50991,23805.52787,87369.67025
v4438,1.26,0.7,0.1,0.22,0.8,72314.4703,24265.27059,98668.95962
v4439,1.74,0.7,0.3,0.1,0.2,82620.93283,22371.86765,64640.76058
v4440,0.3,0.22,0.3,0.58,0.8,85739.49056,20191.53616,20311.42272
v4441,0.3,0.22,0.3,0.34,0.8,82347.44609,20290.91744,20311.42272
v4442,1.74,0.34,0.3,0.46,0.8,95386.80091,20612.01533,39691.72485
v4443,1.26,0.22,0.5,0.22,0.2,96730.23398,17297.40659,12475.25884
v4444,1.26,0.22,0.1,0.34,0.8,90678.50651,19058.77521,20292.23376
v4445,2.22,0.7,0.5,0.22,0.2,91668.97965,21887.48209,64625.55569
v4446,1.26,0.22,0.3,0.1,0.8,89848.67349,19170.47462,20292.23376
v4447,0.78,0.34,0.1,0.34,0.4,82609.4406,20454.0194,28423.63911
v4448,2.22,0.34,0.6,0.7,0.8,106985.4672,20116.86176,39658.84068
v4449,2.7,0.22,0.1,0.58,0.2,109967.3303,16101.08531,13338.45433
v4450,0.78,0.1,0.1,0.1,0.8,86904.04279,16113.80651,6717.56098
v4451,0.3,0.1,0.2,0.46,0.8,87942.03289,17044.49922,6712.226939
v4452,0.3,0.58,0.1,0.46,0.8,68664.07024,24208.07834,79417.94435
v4453,2.22,0.1,0.6,0.34,0.4,113096.6161,14741.83723,5207.994614
v4454,2.7,0.1,0.5,0.46,0.2,118200.9042,14158.29905,4270.826679
v4455,0.3,0.46,0.6,0.1,0.4,76215.46942,22494.55057,46027.58161
v4456,0.78,0.58,0.3,0.22,0.2,77804.72183,22276.99255,51676.20727
v4457,1.26,0.7,0.1,0.1,0.8,70391.66142,24345.40425,98668.95962
v4458,2.7,0.34,0.5,0.7,0.8,109981.9352,19780.85518,39621.84275
v4459,2.7,0.46,0.4,0.7,0.4,106523.584,20138.04818,44107.23154
v4460,1.74,0.7,0.2,0.58,0.4,86474.737,22839.4862,75964.81427
v4461,2.7,0.1,0.3,0.58,0.2,117235.6458,14076.05938,4270.826679
v4462,1.74,0.7,0.4,0.46,0.2,89426.84907,22126.24952,64640.76058
v4463,0.3,0.34,0.3,0.34,0.2,81006.94236,20220.55593,23717.88606
v4464,0.78,0.22,0.3,0.34,0.4,89681.53808,18523.94022,15086.22993
v4465,0.3,0.46,0.2,0.34,0.4,74438.78942,22477.61891,46027.58161
v4466,1.74,0.58,0.2,0.46,0.6,86843.20879,22648.93842,70063.94343
v4467,2.7,0.34,0.5,0.22,0.2,106352.3272,18053.78899,25150.9236
v4468,1.74,0.22,0.2,0.7,0.6,102467.1419,18201.10202,18722.92396
v4469,2.7,0.7,0.1,0.22,0.2,90228.69717,21668.62761,64609.02114
